DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 T / cardinality : 1897.0
CONFIGURATIONS :
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
1 0 1 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
0 0 0 
;
TIMETABLE : 
0 0 0 
14.0 58.0 14.0 
25.0 58.0 25.0 
34.0 58.0 34.0 
46.0 58.0 46.0 
58.0 58.0 58.0 
71.0 58.0 71.0 
80.0 80.0 71.0 
82.0 80.0 82.0 
94.0 80.0 94.0 
98.0 98.0 98.0 
98.0 111.0 111.0 
112.0 112.0 112.0 
123.0 123.0 123.0 
134.0 134.0 134.0 
143.0 143.0 143.0 
154.0 143.0 154.0 
155.0 155.0 154.0 
164.0 155.0 164.0 
174.0 174.0 174.0 
183.0 183.0 174.0 
183.0 185.0 185.0 
194.0 194.0 194.0 
205.0 194.0 205.0 
211.0 211.0 205.0 
218.0 211.0 218.0 
